股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1216,統一企業,3644000.0,3.02,3644000.0,0.0,持平
1477,聚陽實業,433000.0,1.24,433000.0,0.0,持平
1519,華城電機,68000.0,0.71,68000.0,0.0,持平
1605,華新麗華,2118000.0,0.77,2118000.0,0.0,持平
2059,川湖科技,19000.0,0.8,19000.0,0.0,持平
2308,台達電子工業,160000.0,2.82,160000.0,0.0,持平
2313,已清倉,0.0,,0.0,0.0,持平
2317,鴻海精密工業,561000.0,1.31,561000.0,0.0,持平
2327,國巨,33000.0,0.1,33000.0,0.0,持平
2330,台灣積體電路製造,1122000.0,24.0,1122000.0,0.0,持平
2344,華邦電子,639000.0,0.71,639000.0,0.0,持平
2345,智邦科技,79000.0,1.54,79000.0,0.0,持平
2357,已清倉,0.0,,0.0,0.0,持平
2360,致茂電子,100000.0,1.91,100000.0,0.0,持平
2368,金像電子（股）公司,90000.0,0.96,90000.0,0.0,持平
2379,已清倉,0.0,,0.0,0.0,持平
2382,廣達電腦,299000.0,1.0,299000.0,0.0,持平
2383,台光電子材料,37000.0,1.27,37000.0,0.0,持平
2395,研華,900000.0,3.55,900000.0,0.0,持平
2408,南亞科技,38000.0,0.1,38000.0,0.0,持平
2412,中華電信,2535000.0,3.96,2535000.0,0.0,持平
2449,京元電子,27000.0,0.09,27000.0,0.0,持平
2454,聯發科技,78000.0,1.44,78000.0,0.0,持平
2881,富邦金融控股,2051100.0,2.11,2051100.0,0.0,持平
2884,已清倉,0.0,,0.0,0.0,持平
2891,中國信託金融控股,1631000.0,1.0,1631000.0,0.0,持平
3017,奇鋐科技,43000.0,1.14,43000.0,0.0,持平
3036,文曄科技,35000.0,0.09,35000.0,0.0,持平
3037,欣興電子,205000.0,1.2,205000.0,0.0,持平
3105,穩懋半導體,103000.0,0.43,103000.0,0.0,持平
3231,已清倉,0.0,,0.0,0.0,持平
3264,欣銓科技,609000.0,1.06,609000.0,0.0,持平
3293,鈊象電子,339000.0,3.09,339000.0,0.0,持平
3529,力旺電子,13000.0,0.44,13000.0,0.0,持平
3533,嘉澤端子工業,85000.0,2.24,85000.0,0.0,持平
3653,健策精密工業,21000.0,0.96,21000.0,0.0,持平
3661,世芯電子,33000.0,1.18,33000.0,0.0,持平
3665,貿聯控股（BizLink Holding In,51000.0,1.08,51000.0,0.0,持平
3706,已清倉,0.0,,0.0,0.0,持平
3711,日月光投資控股,248000.0,1.04,248000.0,0.0,持平
4749,新應材,302000.0,3.11,302000.0,0.0,持平
4904,遠傳電信,1813000.0,1.95,1813000.0,0.0,持平
5274,信驊科技,3000.0,0.4,3000.0,0.0,持平
6223,旺矽科技,32000.0,1.36,32000.0,0.0,持平
6239,力成科技,468000.0,1.08,468000.0,0.0,持平
6274,台燿科技,46000.0,0.32,46000.0,0.0,持平
6409,已清倉,0.0,,0.0,0.0,持平
6415,矽力杰,241000.0,0.83,241000.0,0.0,持平
6442,光紅建聖,57000.0,1.38,57000.0,0.0,持平
6488,環球晶圓,313000.0,1.65,313000.0,0.0,持平
6515,穎崴科技,11000.0,1.04,11000.0,0.0,持平
6669,緯穎科技服務,24000.0,0.97,24000.0,0.0,持平
6781,AES Holding Co Ltd,101000.0,1.26,101000.0,0.0,持平
6789,采鈺科技,490000.0,1.85,490000.0,0.0,持平
6805,富世達,51000.0,1.13,51000.0,0.0,持平
7769,鴻勁精密,20000.0,0.9,20000.0,0.0,持平
8046,已清倉,0.0,,0.0,0.0,持平
8210,勤誠興業,92000.0,0.97,92000.0,0.0,持平
