股票代號,股票名稱,股數,權重(%),股數_old,股數變化,狀態
1477,聚陽實業,369000.0,0.61,369000.0,0.0,持平
1504,已清倉,0.0,,0.0,0.0,持平
1519,華城電機,176000.0,1.12,176000.0,0.0,持平
1590,亞德客國際集團,91000.0,0.78,91000.0,0.0,持平
2027,已清倉,0.0,,0.0,0.0,持平
2059,川湖科技,82000.0,2.17,82000.0,0.0,持平
2308,台達電子工業,377000.0,5.06,377000.0,0.0,持平
2317,鴻海精密工業,1905000.0,3.03,1905000.0,0.0,持平
2327,已清倉,0.0,,0.0,0.0,持平
2330,台灣積體電路製造,583000.0,9.2,583000.0,0.0,持平
2344,華邦電子,2892000.0,2.08,2892000.0,0.0,持平
2345,智邦科技,208000.0,3.02,208000.0,0.0,持平
2360,致茂電子,169000.0,2.39,169000.0,0.0,持平
2368,金像電子（股）公司,299000.0,2.64,299000.0,0.0,持平
2376,技嘉科技,225000.0,0.46,225000.0,0.0,持平
2379,已清倉,0.0,,0.0,0.0,持平
2382,廣達電腦,1213000.0,3.01,1213000.0,0.0,持平
2383,台光電子材料,120000.0,3.32,120000.0,0.0,持平
2408,南亞科技,1510000.0,2.55,1510000.0,0.0,持平
2449,京元電子,232000.0,0.54,232000.0,0.0,持平
2454,聯發科技,188000.0,2.48,188000.0,0.0,持平
2548,華固建設,470000.0,0.47,470000.0,0.0,持平
2723,已清倉,0.0,,0.0,0.0,持平
2881,富邦金融控股,2057575.0,1.38,2057575.0,0.0,持平
2884,玉山金融控股,5569622.0,1.4,5569622.0,0.0,持平
2891,中國信託金融控股,3891000.0,1.59,3891000.0,0.0,持平
3017,奇鋐科技,157000.0,2.78,157000.0,0.0,持平
3036,文曄科技,693000.0,1.21,693000.0,0.0,持平
3044,健鼎科技,253000.0,0.74,253000.0,0.0,持平
3211,已清倉,0.0,,0.0,0.0,持平
3231,緯創資通,1470000.0,1.54,1470000.0,0.0,持平
3264,欣銓科技,695000.0,1.0,695000.0,0.0,持平
3293,鈊象電子,129000.0,0.75,129000.0,0.0,持平
3443,創意電子,50000.0,1.17,50000.0,0.0,持平
3526,已清倉,0.0,,0.0,0.0,持平
3533,嘉澤端子工業,54000.0,0.92,54000.0,0.0,持平
3653,健策精密工業,66000.0,2.03,66000.0,0.0,持平
3661,已清倉,0.0,,0.0,0.0,持平
3665,貿聯控股（BizLink Holding In,130336.0,2.3,130336.0,0.0,持平
3711,日月光投資控股,536000.0,1.74,536000.0,0.0,持平
4749,已清倉,0.0,,0.0,0.0,持平
4915,致伸科技,547000.0,0.31,547000.0,0.0,持平
5234,達興材料,244000.0,0.75,244000.0,0.0,持平
5274,信驊科技,20000.0,2.0,20000.0,0.0,持平
5434,崇越科技,294000.0,0.9,294000.0,0.0,持平
5439,已清倉,0.0,,0.0,0.0,持平
5904,寶雅國際,181450.0,0.7,181450.0,0.0,持平
6121,已清倉,0.0,,0.0,0.0,持平
6223,旺矽科技,71000.0,2.49,71000.0,0.0,持平
6274,台燿科技,222000.0,1.47,222000.0,0.0,持平
6442,光紅建聖,71000.0,1.13,71000.0,0.0,持平
6510,中華精測科技,35000.0,0.9,35000.0,0.0,持平
6515,穎崴科技,37000.0,2.41,37000.0,0.0,持平
6561,已清倉,0.0,,0.0,0.0,持平
6584,南俊國際,260000.0,1.39,260000.0,0.0,持平
6669,緯穎科技服務,83000.0,2.39,83000.0,0.0,持平
6805,富世達,111000.0,1.47,111000.0,0.0,持平
6811,已清倉,0.0,,0.0,0.0,持平
6831,邁科科技,314000.0,1.09,314000.0,0.0,持平
7769,鴻勁精密,86000.0,2.76,86000.0,0.0,持平
8114,已清倉,0.0,,0.0,0.0,持平
8210,勤誠興業,268000.0,1.98,268000.0,0.0,持平
8299,群聯電子,150000.0,2.03,150000.0,0.0,持平
8996,高力熱處理工業,165000.0,1.41,165000.0,0.0,持平
